"","State","Region","Race","Population","Group"
"474","South Dakota","Midwest","NHB",5.73495913171647,"Infection"
"475","Tennessee","South","NHB",21.0412275574606,"Infection"
"476","Texas","South","NHB",18.8656817795891,"Infection"
"477","Utah","West","NHB",2.23703793700453,"Infection"
"478","Virginia","South","NHB",25.4188078108941,"Infection"
"479","Washington","West","NHB",5.89449310379543,"Infection"
"480","West Virginia","South","NHB",5.80514891468955,"Infection"
"481","Wisconsin","Midwest","NHB",10.1822710097831,"Infection"
"482","Wyoming","West","NHB",1.14487926727727,"Infection"
"483","Alabama","South","Hispanic",8.25637654766651,"Infection"
"484","Alaska","West","Hispanic",11.6123907863384,"Infection"
"485","Arizona","West","Hispanic",44.6226012224091,"Infection"
"486","Arkansas","South","Hispanic",20.1613982495115,"Infection"
"487","California","West","Hispanic",61.0729734563103,"Infection"
"488","Colorado","West","Hispanic",44.2637543222979,"Infection"
"489","Connecticut","Northeast","Hispanic",27.8902839101157,"Infection"
"490","Delaware","South","Hispanic",24.9447077409163,"Infection"
"491","District of Columbia","South","Hispanic",25.3670686942842,"Infection"
"492","Florida","South","Hispanic",37.9881306970409,"Infection"
"493","Georgia","South","Hispanic",17.1851851851852,"Infection"
"494","Idaho","West","Hispanic",26.3199539634585,"Infection"
"495","Illinois","Midwest","Hispanic",34.2145324934594,"Infection"
"496","Indiana","Midwest","Hispanic",10.8036794459972,"Infection"
"497","Iowa","Midwest","Hispanic",15.4893126290664,"Infection"
"498","Kansas","Midwest","Hispanic",29.8959929049424,"Infection"
"499","Kentucky","South","Hispanic",10.0309504363152,"Infection"
"500","Maine","Northeast","Hispanic",4.14887126296522,"Infection"
"501","Maryland","South","Hispanic",25.4630110593769,"Infection"
"502","Massachusetts","Northeast","Hispanic",31.7352690363776,"Infection"
"503","Michigan","Midwest","Hispanic",8.53164080543343,"Infection"
"504","Minnesota","Midwest","Hispanic",16.9847328244275,"Infection"
"505","Mississippi","South","Hispanic",3.43305775292928,"Infection"
"506","Missouri","Midwest","Hispanic",9.48703156457139,"Infection"
"507","Nebraska","Midwest","Hispanic",35.288928098809,"Infection"
"508","Nevada","West","Hispanic",45.2503219978924,"Infection"
"509","New Hampshire","Northeast","Hispanic",14.0041067761807,"Infection"
"510","New Jersey","Northeast","Hispanic",29.3826273691142,"Infection"
"511","New Mexico","West","Hispanic",49.6546884809986,"Infection"
"512","North Carolina","South","Hispanic",28.3413317336533,"Infection"
"513","Ohio","Midwest","Hispanic",6.829654848556,"Infection"
"514","Oklahoma","South","Hispanic",20.0401027987235,"Infection"
"515","Oregon","West","Hispanic",43.7182869900548,"Infection"
"516","Pennsylvania","Northeast","Hispanic",15.0570518389806,"Infection"
